x,y,z,t
-14.240363798450728,-15.49424462712308,33.41246828712545,62.39
-14.311414377397702,-14.480351589628466,34.64612855756019,62.4
-14.272495868077971,-13.31471159729911,35.697646586164275,62.41
-14.11976752484981,-12.032713370288356,36.534527578654306,62.42
-13.8559085618432,-10.6799725952586,37.14098075746629,62.43
-13.487521750751483,-9.30162399232818,37.513589802046326,62.44
-13.023025564461497,-7.943240966070353,37.65348487412635,62.45
-12.476280224809903,-6.641929308414923,37.57965452327454,62.46
-11.861848788637422,-5.4286965844835455,37.315565972329196,62.47
-11.195653594724417,-4.329505721162585,36.88798632364332,62.48
-10.494164869250968,-3.3557062828469335,36.32761365708238,62.49
-9.773221715647272,-2.5150587758528835,35.664539004626455,62.5
-9.047256606190388,-1.806211525383636,34.92592454367868,62.51
-8.328957532788115,-1.2229042902590845,34.135914058086534,62.52
-7.629358759975503,-0.7558241106491649,33.3151566269753,62.53
-6.956806350117915,-0.39257264642853446,32.47913724985541,62.54
-6.318414806235487,-0.12024890256355392,31.641107227160866,62.55
-5.718505940436673,0.07422986278831198,30.809415433302934,62.56
-5.160560523424378,0.2036203783754883,29.99106412253695,62.57
-4.646013804242775,0.27931956394484375,29.189987699445286,62.58
-4.175438904661704,0.31181536479543287,28.408902641272125,62.59
-3.7482540054551805,0.3099961920774994,27.64908662980627,62.6
-3.363261016425799,0.2816517609791432,26.91109061353144,62.61
-3.0186080589824043,0.23305510640667199,26.194787642807864,62.62
-2.712149215424838,0.16956514003345807,25.499767850826583,62.63
-2.4414399985169366,0.09529682885087752,24.825364503468027,62.64
-2.2039460923254306,0.013599269731539064,24.17083403487396,62.65
-1.9970800091153462,-0.07303227588849176,23.535393755240552,62.66
-1.81830796811277,-0.1627475453226729,22.918281157775837,62.67
-1.6651769772634357,-0.2542226504813694,22.31877096133655,62.68
-1.5353766560954005,-0.3466457306666049,21.73620001065287,62.69
-1.426749973711028,-0.43952852242204904,21.169959006348364,62.7
-1.337313352038332,-0.5327316421870462,20.61950439783742,62.71
-1.265278673996485,-0.6263278831985932,20.084345853563793,62.72
-1.2090373090490834,-0.7206292871526894,19.564052092999432,62.73
-1.1671676171880745,-0.8160587095525215,19.058232196283576,62.74
-1.1384617708349605,-0.9132352045293102,18.566556610797715,62.75
-1.1218170703458694,-1.0128133089453866,18.088715452413112,62.76
-1.1164111798606977,-1.1155974034064722,17.624466944859954,62.77
-1.1214769381689949,-1.2224511720969526,17.173590069927616,62.78
-1.136450254879874,-1.3342791706035846,16.735905782457177,62.79
-1.1609507336388634,-1.4521104643953278,16.311299215333307,62.8
